Heading,Link,Summary,Date
AI toolkit can help police trace child sexual abuse online,http://economictimes.indiatimes.com/news/science/ai-toolkit-can-help-police-trace-child-sexual-abuse-online/articleshow/55769764.cms,"London, Dec 3 (IANS) A new artificial intelligence (AI) toolkit 'iCOP' has been designed to identify child sexual abuse content online that can lead police to catch the abusers, researchers report.","Dec 3, 2016, 02:15 PM IST"
Researchers create new method to improve predictions,http://economictimes.indiatimes.com/news/science/researchers-create-new-method-to-improve-predictions/articleshow/55792212.cms,"New York, Dec 4 (IANS) A team of researchers has created a new method to analyse big data that better predicts outcomes in health care, politics and other fields.","Dec 4, 2016, 06:25 PM IST"
Climate cycles led to water carved features on Mars' surface,http://economictimes.indiatimes.com/news/science/climate-cycles-led-to-water-carved-features-on-mars-surface/articleshow/55743993.cms,"New York, Dec 2 (IANS) Dramatic climate cycles on early Mars, triggered by buildup of greenhouse gases, may be the key to understanding how liquid water left its mark on the planet's surface, a study says.","Dec 2, 2016, 11:25 AM IST"
Spiritual experiences as rewarding as having sex,http://economictimes.indiatimes.com/news/science/spiritual-experiences-as-rewarding-as-having-sex/articleshow/55705878.cms,"New York, Nov 30 (IANS) Religious and spiritual experiences activate the brain reward circuits in the same way as love, sex, gambling, drugs and music, a study has found.","Nov 30, 2016, 04:42 PM IST"
Invasive alien plants could be promoted as food,http://economictimes.indiatimes.com/news/science/invasive-alien-plants-could-be-promoted-as-food/articleshow/55703321.cms,"Kolkata, Nov 30 (IANS) Invasive plant species such as alligator weed, which threatens natural ecosystem, could be promoted as a food product to sustainably manage excessive growth of these alien invaders as well as strengthen food security, a new study has said.","Nov 30, 2016, 01:59 PM IST"
Europe's new Mars orbiter starts sending data from NASA rovers,http://economictimes.indiatimes.com/news/science/europes-new-mars-orbiter-starts-sending-data-from-nasa-rovers/articleshow/55700010.cms,"Washington, Nov 30 (IANS) In the successful first relay test of a NASA radio aboard Europe's new Trace Gas Orbiter (TGO), data from NASA rovers Opportunity and Curiosity reached Earth last week, the US space agency said on Wednesday.","Nov 30, 2016, 10:42 AM IST"
ISRO will launch 83 satellites in one go in January 2017,http://economictimes.indiatimes.com/news/science/isro-will-launch-83-satellites-in-one-go-in-january-2017/articleshow/55706617.cms,"""These international customer satellites are being launched as part of the commercial arrangement between them and Antrix Corporation Ltd, the commercial arm and PSU under the ISRO,"" Jitendra Singh said.","Nov 30, 2016, 05:25 PM IST"
Novel wound-healing technology developed,http://economictimes.indiatimes.com/news/science/novel-wound-healing-technology-developed/articleshow/55701832.cms,Researchers at WSU in the US used an antibiotic in combination with the electric current to kill all of the highly persistent Pseudomonas aeruginosa PAO1 bacteria in their samples.,"Nov 30, 2016, 12:28 PM IST"
Dense 'hot Jupiter' exoplanet discovered,http://economictimes.indiatimes.com/news/science/dense-hot-jupiter-exoplanet-discovered/articleshow/55706929.cms,"The planet, designated EPIC 220504338b, was first spotted by NASA's Kepler K2 mission.","Nov 30, 2016, 05:39 PM IST"
Google doodle honours scientist Jagadish Chandra Bose,http://economictimes.indiatimes.com/news/science/google-doodle-honours-scientist-jagadish-chandra-bose/articleshow/55701474.cms,"New Delhi, Nov 30 (IANS) Google has celebrated the remarkable contributions of scientist Jagadish Chandra Bose, pioneer of electro-magnetic waves and inventor of an early version of wireless telecommunication, with a doodle on Wednesday -- on what would be his 158th birthday.","Nov 30, 2016, 12:10 PM IST"
Ancient life forms that survived without oxygen found,http://economictimes.indiatimes.com/news/science/ancient-life-forms-that-survived-without-oxygen-found/articleshow/55704614.cms,"New York, Nov 30 (IANS) Researchers have discovered fossils of 2.5 billion-year-old sulfur-oxidising bacteria that existed just fine without any oxygen.","Nov 30, 2016, 03:25 PM IST"
Human ancestor 'Lucy' could walk and climb trees too,http://economictimes.indiatimes.com/news/science/human-ancestor-lucy-could-walk-and-climb-trees-too/articleshow/55721749.cms,"New York, Dec 1 (IANS) Lucy -- the common name accorded to the world-famous fossilised remains of an early human ancestor who lived 3.18 million years ago -- was adept at walking on her two legs as well as climbing trees, researchers have determined.","Dec 1, 2016, 12:52 PM IST"
NASA Saturn mission begins 'ring-grazing orbits',http://economictimes.indiatimes.com/news/science/nasa-saturn-mission-begins-ring-grazing-orbits/articleshow/55721997.cms,"Launched in 1997, Cassini has been touring the Saturn system since arriving there in 2004 for an up-close study of the planet, its rings and moons.","Dec 1, 2016, 01:07 PM IST"
More efficient use of sunlight can improve crop yields,http://economictimes.indiatimes.com/news/science/more-efficient-use-of-sunlight-can-improve-crop-yields/articleshow/55660782.cms,"Bengaluru, Nov 28 (IANS) Researchers in the US, led by one of Indian origin, have developed a genetic manipulation technique that results in more efficient use of sunlight in photosynthesis by plants. They say the findings observed in tobacco plants could potentially be used to increase the yield of food crops like wheat and rice.","Nov 28, 2016, 11:15 AM IST"
Scientists observe Earth-like planet in search of alien life,http://economictimes.indiatimes.com/news/science/scientists-observe-earth-like-planet-in-search-of-alien-life/articleshow/55685448.cms,"A transit is a phenomenon in which a planet passes in front of its parent star, blocking a small amount of light from the star, like a shadow of the planet.","Nov 29, 2016, 04:18 PM IST"
Astronomers observe transit of Earth-like extra-solar planet,http://economictimes.indiatimes.com/news/science/astronomers-observe-transit-of-earth-like-extra-solar-planet/articleshow/55682780.cms,"Tokyo, Nov 29 (IANS) In an important step towards the search for extra-terrestrial life, astronomers in Japan have observed the transit of a potentially habitable Earth-like extra-solar planet known as K2-3d.","Nov 29, 2016, 01:47 PM IST"
NASA to work with UAE on Mars probe,http://economictimes.indiatimes.com/news/science/nasa-to-work-with-uae-on-mars-probe/articleshow/55650149.cms,"Dubai, Nov 27 (IANS) US space agency NASA will work with the United Arab Emirates (UAE) Space Agency to put communications capability on the UAE's Mars spacecraft Hope that will reach the Red Planet in 2021, an official said on Sunday.","Nov 27, 2016, 04:42 PM IST"
HIV vaccine efficacy study begins in South Africa,http://economictimes.indiatimes.com/news/science/hiv-vaccine-efficacy-study-begins-in-south-africa/articleshow/55676930.cms,"Washington, Nov 29 (IANS) The first HIV vaccine efficacy study in seven years has begun in South Africa to test whether a modified vaccine candidate can provide effective protection against the AIDS virus, the US National Institutes of Health said.","Nov 29, 2016, 06:52 AM IST"
"Prevent hypertension, diabetes in mid-life to lower heart failure risk",http://economictimes.indiatimes.com/news/science/prevent-hypertension-diabetes-in-mid-life-to-lower-heart-failure-risk/articleshow/55682877.cms,"New York, Nov 29 (IANS) Preventing the development of hypertension, obesity and diabetes in mid-life -- between the age of 45 and 55 years -- can result in an 86 per cent lower risk of heart failure throughout the remainder of life, says a research.","Nov 29, 2016, 01:52 PM IST"
Repeated jet lag may increase liver cancer risk,http://economictimes.indiatimes.com/news/science/repeated-jet-lag-may-increase-liver-cancer-risk/articleshow/55650524.cms,"New York, Nov 27 (IANS) Repeated jet lag can increase both obesity related liver disease and the risk of liver cancer, researchers warned.","Nov 27, 2016, 05:15 PM IST"
Why astronauts become visually impaired on longer missions,http://economictimes.indiatimes.com/news/science/why-astronauts-become-visually-impaired-on-longer-missions/articleshow/55668159.cms,"New York, Nov 28 (IANS) The visual problems that affect astronauts on long space missions is related to volume changes in the clear fluid which is found around the brain and spinal cord, say researchers.","Nov 28, 2016, 06:10 PM IST"
"Soon, nuclear waste to generate clean electricity",http://economictimes.indiatimes.com/news/science/soon-nuclear-waste-to-generate-clean-electricity/articleshow/55665121.cms,"The development could solve some of the problems of nuclear waste, clean electricity generation and battery life, researchers said.","Nov 28, 2016, 03:13 PM IST"
"New grasses eat up all RDX from ground, keep air healthy",http://economictimes.indiatimes.com/news/science/new-grasses-eat-up-all-rdx-from-ground-keep-air-healthy/articleshow/55649742.cms,"New York, Nov 27 (IANS) A group of US engineers has developed two types of transgenic grass species that can eliminate toxic compounds widely used in explosives which contaminate the air around military bases and battlegrounds.","Nov 27, 2016, 04:05 PM IST"
New technology to make construction vehicles greener,http://economictimes.indiatimes.com/news/science/new-technology-to-make-construction-vehicles-greener/articleshow/55633403.cms,"London, Nov 26 (IANS A technology that may make future construction vehicles  -- which waste a lot of fuel by remaining on full power while idle -- more fuel efficient with electrical systems is being developed, new research suggests.","Nov 26, 2016, 12:27 PM IST"
Innovator of 'Ice-Stupas' to establish Ladakh's first university,http://economictimes.indiatimes.com/news/science/innovator-of-ice-stupas-to-establish-ladakhs-first-university/articleshow/55624814.cms,"New Delhi, Nov 25 (IANS) Sonam Wangchuk, labelled as 'The Real Phunsuk Wangdu of Ladakh', announced here on Thursday his ambitious project of opening a university in the cold desert of the Himalayan region, to be known as Himalayan Institute of Alternatives (HIAL).","Nov 25, 2016, 09:32 PM IST"
Safdarjung Hospital doctors cure ligament damage by stitching,http://economictimes.indiatimes.com/news/science/safdarjung-hospital-doctors-cure-ligament-damage-by-stitching/articleshow/55626118.cms,"New Delhi, Nov 25 (IANS) In a rare surgery, doctors at city-based Safdarjung Hospital on Friday cured a teenager with severe ligament avulsion fracture through mere stitches instead of using any implant like screws or endo button, doctors said on Friday.","Nov 25, 2016, 10:37 PM IST"
Existing search engines won't support Internet of Things: Experts,http://economictimes.indiatimes.com/news/science/existing-search-engines-wont-support-internet-of-things-experts/articleshow/55621677.cms,"London, Nov 25 (IANS) Internet search mechanisms will need to change to support the Internet of Things (IoT) whereby billions of devices will become connected, say experts.","Nov 25, 2016, 06:32 PM IST"
New technique to make fuel cells more energy efficient,http://economictimes.indiatimes.com/news/science/new-technique-to-make-fuel-cells-more-energy-efficient/articleshow/55619276.cms,"A nanosize squeeze can significantly boost the performance of platinum catalysts that help generate energy in fuel cells, according to scientists at Stanford University in the US.","Nov 25, 2016, 04:17 PM IST"
Hungry bacteria can extract energy from sewage,http://economictimes.indiatimes.com/news/science/hungry-bacteria-can-extract-energy-from-sewage/articleshow/55632247.cms,"London, Nov 26 (IANS) Sewage contains a source of energy that can be harvested by using hungry bacteria, researchers from Ghent University in Belgium have discovered.","Nov 26, 2016, 11:10 AM IST"
Protein-carbohydrate combo good for gut health,http://economictimes.indiatimes.com/news/science/protein-carbohydrate-combo-good-for-gut-health/articleshow/55645653.cms,"Sydney, Nov 27 (IANS) Dietary combination of protein and carbohydrate may help promote good gut health as such a diet encourages cooperation between ourselves and bacteria in our gut, suggests new research.","Nov 27, 2016, 09:32 AM IST"
MGK Menon: Remarkable polymath scientist leaves behind big void,http://economictimes.indiatimes.com/news/science/mgk-menon-remarkable-polymath-scientist-leaves-behind-big-void/articleshow/55645467.cms,"A hidden nugget in his long-career was Menon's tightrope diplomacy that saved the tropical rainforests of Silent Valley in Kerala, that were doomed to extinction due to state governments' insistence of making a hydro-electric dam.","Nov 27, 2016, 09:12 AM IST"
ISRO seeks proposals for Mars Orbiter Mission-2,http://economictimes.indiatimes.com/news/science/isro-seeks-proposals-for-mars-orbiter-mission-2/articleshow/55627163.cms,"To expand inter-planetary research, ISRO is seeking scientific proposals for Mars Orbiter Mission-2, the government said.","Nov 25, 2016, 11:29 PM IST"
How lung cancer spread can be prevented,http://economictimes.indiatimes.com/news/science/how-lung-cancer-spread-can-be-prevented/articleshow/55634032.cms,"London, Nov 26 (IANS) A component of cancer cells, which acts like a 'cellular post office', could be the key to preventing the spread of lung cancer to other parts of the body, scientists have discovered.","Nov 26, 2016, 01:15 PM IST"
NASA scientists developing tasty bars for deep space breakfast,http://economictimes.indiatimes.com/news/science/nasa-scientists-developing-tasty-bars-for-deep-space-breakfast/articleshow/55594610.cms,"Washington, Nov 24 (IANS) When astronauts in the Orion spacecraft travel beyond the moon to explore deep space destinations, they may have a number of food bars to select from in a variety of flavours like orange, cranberry or barbeque nut for breakfast.","Nov 24, 2016, 11:05 AM IST"
New way to turn waste CO2 into road-ready diesel fuel,http://economictimes.indiatimes.com/news/science/new-way-to-turn-waste-co2-into-road-ready-diesel-fuel/articleshow/55562850.cms,"The benefits are two-fold, researchers said. The process removes harmful CO2 from the atmosphere and the diesel can be used as an alternative fuel to gasoline.","Nov 22, 2016, 06:07 PM IST"
Huge underground deposit of ice found on Mars,http://economictimes.indiatimes.com/news/science/huge-underground-deposit-of-ice-found-on-mars/articleshow/55579947.cms,"New York, Nov 23 (IANS) Using data from NASA's Mars Reconnaissance Orbiter, scientists have discovered a large deposit of ice beneath a region of cracked and pitted plains on Mars.","Nov 23, 2016, 03:20 PM IST"
NASA's Cassini probe set to fly closest to Saturn rings,http://economictimes.indiatimes.com/news/science/nasas-cassini-probe-set-to-fly-closest-to-saturn-rings/articleshow/55575459.cms,"Washington, Nov 23 (IANS) NASA said its Cassini mission is set to begin on November 30 a daring set of ""ring-grazing"" orbits, during which it will fly closer to Saturns rings than it has since its 2004 arrival.","Nov 23, 2016, 11:05 AM IST"
NASA developing breakfast food bars for deep space mission,http://economictimes.indiatimes.com/news/science/nasa-developing-breakfast-food-bars-for-deep-space-mission/articleshow/55596629.cms,"Since flights to deep space will not rely on resupply spacecraft to deliver what astronauts need and dispose of trash, the Orion crew will have to take everything they need with them and bring it all back home.","Nov 24, 2016, 12:50 PM IST"
NASA selects SpaceX for launch of global surface water survey probe,http://economictimes.indiatimes.com/news/science/nasa-selects-spacex-for-launch-of-global-surface-water-survey-probe/articleshow/55577723.cms,"Washington, Nov 23 (IANS) NASA has selected SpaceX to provide launch services for the agencys April 2021 mission designed to make the first-ever global survey of Earths surface water.","Nov 23, 2016, 01:10 PM IST"
President condoles death of M.G.K. Menon,http://economictimes.indiatimes.com/news/science/president-condoles-death-of-m-g-k-menon/articleshow/55581954.cms,"New Delhi, Nov 23 (IANS) President Pranab Mukherjee on Wednesday condoled the death of distinguished physicist and former Indian Space Research Organisation (ISRO) chief M.G.K. Menon, terming his demise a ""great loss for the country"".","Nov 23, 2016, 05:15 PM IST"
China successfully launches fourth data satellite,http://economictimes.indiatimes.com/news/science/china-successfully-launches-fourth-data-satellite/articleshow/55583463.cms,"China has successfully launched its fourth data satellite to achieve global network operation that will provide data relay, measurement and control services for its manned spacecraft.","Nov 23, 2016, 06:58 PM IST"
Spine Navigation Technology can ease surgery complications: Doctors,http://economictimes.indiatimes.com/news/science/spine-navigation-technology-can-ease-surgery-complications-doctors/articleshow/55584191.cms,"New Delhi, Nov 23 (IANS) Spine Navigation Technology -- an image-based medical technology -- can be the best way to perform delicate and complex spinal surgeries, said doctors on Wednesday.","Nov 23, 2016, 07:20 PM IST"
NASA probe set to fly closest ever to Saturn's rings,http://economictimes.indiatimes.com/news/science/nasa-probe-set-to-fly-closest-ever-to-saturns-rings/articleshow/55577548.cms,Engineers at NASA have been pumping up the spacecraft's orbit around Saturn this year to increase its tilt with respect to the planet's equator and rings.,"Nov 23, 2016, 12:59 PM IST"
'Super Earth' found orbiting nearby star,http://economictimes.indiatimes.com/news/science/super-earth-found-orbiting-nearby-star/articleshow/55528697.cms,"""This rocky exoplanet is orbiting a star much smaller and cooler than the Sun. But it is sufficiently nearby and bright,"" said researcher Jonay Isai Gonzalez.","Nov 20, 2016, 04:19 PM IST"
Planned pregnancy can help 90% epileptic women have healthy babies,http://economictimes.indiatimes.com/news/science/planned-pregnancy-can-help-90-epileptic-women-have-healthy-babies/articleshow/55512560.cms,"New Delhi, Nov 19 (IANS) Planned pregnancy can help 90 per cent of epileptic women deliver healthy babies, said doctors.","Nov 19, 2016, 04:59 PM IST"
Traumatic stress affects boys and girls differently: Study,http://economictimes.indiatimes.com/news/science/traumatic-stress-affects-boys-and-girls-differently-study/articleshow/55520244.cms,"San Francisco, Nov 20 (IANS) A new study suggests that a brain region that integrates emotions and actions appears to undergo accelerated maturation in adolescent girls with post-traumatic stress disorder (PTSD), but not in boys with the condition.","Nov 20, 2016, 07:10 AM IST"
Eyes can reveal onset of Alzheimer's disease,http://economictimes.indiatimes.com/news/science/eyes-can-reveal-onset-of-alzheimers-disease/articleshow/55522543.cms,"New York, Nov 20 (IANS) In a breakthrough research, US scientists have identified that early signs of Alzheimer's disease can be detected by looking at the back of patients' eyes.","Nov 20, 2016, 11:54 AM IST"
"Traumatic stress found to affect brains of boys, girls differently",http://economictimes.indiatimes.com/news/science/traumatic-stress-found-to-affect-brains-of-boys-girls-differently/articleshow/55522441.cms,"San Francisco, Nov 20 (IANS) A new study suggests that a brain region that integrates emotions and actions appears to undergo accelerated maturation in adolescent girls with post-traumatic stress disorder (PTSD), but not in boys with the condition.","Nov 20, 2016, 11:47 AM IST"
China launches world's longest quantum communication line,http://economictimes.indiatimes.com/news/science/china-launches-worlds-longest-quantum-communication-line/articleshow/55524536.cms,"In August, China successfully launched the world's first quantum satellite. It was nicknamed ""Micius"" after a fifth century BC Chinese philosopher and scientist.","Nov 20, 2016, 02:49 PM IST"
Avocado extract in food may prevent bacterial illness,http://economictimes.indiatimes.com/news/science/avocado-extract-in-food-may-prevent-bacterial-illness/articleshow/55523932.cms,"New York, Nov 20 (IANS) Extracts and isolated compounds from avocado seeds can potentially be used as a natural additive incorporated into ready-to-eat foods to control microbes that cause bacterial illness, researchers say.","Nov 20, 2016, 01:52 PM IST"
Scientists tweak photosynthesis to boost crop yield,http://economictimes.indiatimes.com/news/science/scientists-tweak-photosynthesis-to-boost-crop-yield/articleshow/55523026.cms,Two of the modified plant lines consistently showed 20 per cent higher productivity and the third was 14 per cent higher than the unaltered tobacco plants.,"Nov 20, 2016, 12:30 PM IST"
NASA launches 'next generation' weather satellite,http://economictimes.indiatimes.com/news/science/nasa-launches-next-generation-weather-satellite/articleshow/55523465.cms,"Washington, Nov 20 (IANS) A ""next generation"" US weather satellite that was rocketed into space from Cape Canaveral Air Force Station in Florida at 6:42 p.m. EST on Saturday (5.12 a.m. Sunday, India time) is on its way to sharpen forecasts, watches and warnings about hurricanes and storms, NASA said.","Nov 20, 2016, 12:59 PM IST"
Life on Earth's soils began earlier than thought: Study,http://economictimes.indiatimes.com/news/science/life-on-earths-soils-began-earlier-than-thought-study/articleshow/55528694.cms,"a closer look at the salt of the rocks suggests they had to have experienced evaporation on land, according to Gregory Retallack, from the University of Oregon.","Nov 20, 2016, 04:08 PM IST"
New AI based system associates images with sounds,http://economictimes.indiatimes.com/news/science/new-ai-based-system-associates-images-with-sounds/articleshow/55455318.cms,"A child can learn from a picture book to associate images with sounds, but building a computer vision system that can train itself is not as simple","Nov 16, 2016, 03:33 PM IST"
'Great valley' found on Mercury indicates shrinking of planet,http://economictimes.indiatimes.com/news/science/great-valley-found-on-mercury-indicates-shrinking-of-planet/articleshow/55470291.cms,"Washington, Nov 17 (IANS) Scientists have discovered a ""great valley"" in the southern hemisphere of Mercury, providing more evidence that the small planet closest to the sun is shrinking.","Nov 17, 2016, 10:52 AM IST"
Chinese astronauts to return after longest space mission,http://economictimes.indiatimes.com/news/science/chinese-astronauts-to-return-after-longest-space-mission/articleshow/55476651.cms,Chinese astronauts Jing Haipeng and Chen Dong have lived and worked in space for 30 days.,"Nov 17, 2016, 04:53 PM IST"
NASA renews hunt for Antarctic meteorites,http://economictimes.indiatimes.com/news/science/nasa-renews-hunt-for-antarctic-meteorites/articleshow/55451235.cms,"Washington, Nov 16 (IANS) To help learn more about the primitive building blocks of the solar system and answer questions about Earths neighbours like the moon and Mars, three federal entities in the US, including NASA, are reaffirming their commitment to search for Antarctic meteorites.","Nov 16, 2016, 11:33 AM IST"
Australian scientists develop method to quickly diagnose skin cancer,http://economictimes.indiatimes.com/news/science/australian-scientists-develop-method-to-quickly-diagnose-skin-cancer/articleshow/55488445.cms,"Melbourne, Nov 18 (IANS) Australian researchers have developed a revolutionary blood test to diagnose skin cancer much more quickly and efficiently than conventional methods.","Nov 18, 2016, 09:05 AM IST"
"This e-device can monitor heart, recognise speech",http://economictimes.indiatimes.com/news/science/this-e-device-can-monitor-heart-recognise-speech/articleshow/55474459.cms,"New York, Nov 17 (IANS) US researchers have developed a tiny, soft and wearable acoustic sensor that can measure vibrations in the human body, allows monitoring of human heart health as well as recognise speech.","Nov 17, 2016, 02:47 PM IST"
NASA's Peggy Whitson set to be the oldest astronaut,http://economictimes.indiatimes.com/news/science/nasas-peggy-whitson-set-to-be-the-oldest-astronaut/articleshow/55471696.cms,"Washington, Nov 17 (IANS) At the age of 56, NASA astronaut Peggy Whitson is set to be the oldest woman in space when she launches for a six-month stay aboard the International Space Station from the Baikonur Cosmodrome in Kazakhstan on Friday.","Nov 17, 2016, 12:10 PM IST"
Pluto's frozen surface may hide a vast liquid ocean,http://economictimes.indiatimes.com/news/science/plutos-frozen-surface-may-hide-a-vast-liquid-ocean/articleshow/55474342.cms,"New York, Nov 17 (IANS) Pluto's frozen surface may conceal a liquid ocean lying deep beneath, suggests new research based on analysis of features revealed by NASA's New Horizons probe.","Nov 17, 2016, 02:42 PM IST"
Leh engineer who inspired '3 Idiots' movie bags global award,http://economictimes.indiatimes.com/news/science/leh-engineer-who-inspired-3-idiots-movie-bags-global-award/articleshow/55458362.cms,"New Delhi, Nov 16 (IANS) Viewers would remember having been left awe-struck by Aamir Khan's many science experiments in the 2009 blockbuster '3 Idiots' -- now Sonam Wangchuk, the inspiration behind Aamir Khan's ""Phunsukh Wangdu"" character in the film, has gained further global recognition bagging the prestigious Rolex Awards for Enterprise 2016.","Nov 16, 2016, 06:15 PM IST"
'Great valley' larger than Grand Canyon found on Mercury,http://economictimes.indiatimes.com/news/science/great-valley-larger-than-grand-canyon-found-on-mercury/articleshow/55472115.cms,The most likely explanation for Mercury's great valley is long-wavelength buckling of the planet's outermost shell in response to global contraction or shrinking.,"Nov 17, 2016, 12:28 PM IST"
Researchers find 'sweet' solution to purify contaminated water,http://economictimes.indiatimes.com/news/science/researchers-find-sweet-solution-to-purify-contaminated-water/articleshow/55429949.cms,"Toronto, Nov 15 (IANS) Indian-origin researchers at York University in Toronto have developed a solution for water treatment that uses only naturally available antimicrobial substances and sugar.","Nov 15, 2016, 11:10 AM IST"
